document_id,extension,size_bytes,extraction_attempted,extraction_method,tokenization_attempted,residual_high_confidence_pi_pattern_count,blocked_for_ai_extraction,needs_operator_review,status
doc_138f99bad27afd00,.pdf,54543,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8b3d6f4566c11d25,.pdf,78621,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ccf551096d62c112,.pdf,106974,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_04dd20bb6b96465a,.pdf,80371,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d308c0bf29413ebd,.pdf,60956,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a6b000a3d65b81bf,.pdf,78256,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_404d465b869c20a2,.pdf,122046,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_c4383bb2fe9c1667,.pdf,31706,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_2e723632e92e66ad,.pdf,27222,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_29083d0cd2292a8e,.pdf,453826,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_400d582207b74950,.pdf,480404,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_fd282e101f70f433,.pdf,32842,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_0d3b62552bbc885a,.pdf,74404,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5d0d7c32b434d553,.pdf,82256,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8f2f1e3f2900443f,.pdf,53971,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_7e9f20e4039b6897,.pdf,9458914,False,not_attempted,False,0,True,True,duplicate
doc_46727182edcb93e6,.pdf,117144,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f61999d888832c0e,.pdf,147881,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d3238c81af04fbed,.pdf,144743,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_21b952fe64857acc,.pdf,272102,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_22a51d536867463e,.pdf,153264,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_62964ca3ee2cfb3b,.pdf,273520,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_4d3342e55fb0936d,.pdf,3427136,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5bffd93587d122d6,.pdf,3691598,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1aff06327d2e62c5,.pdf,1640940,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_0cdcdec589786728,.pdf,1718152,False,not_attempted,False,0,True,True,duplicate
doc_8b9bda904a5deb29,.pdf,56462,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_c73f0a14d55ba68a,.pdf,148203,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_41823646342a75e7,.pdf,364966,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_26579ba623e1a952,.pdf,164420,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_483168c197d8769d,.pdf,267562,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ec979c2ef2e78e19,.mp3,30799976,False,not_attempted,False,0,True,True,unsupported
doc_bb345cd52bea4ae9,.pdf,121815,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_3a881c0880c04b00,.pdf,152775,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_210462bbd1d13998,.pdf,1997852,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_73c85526916ba3f5,.pdf,1528222,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_81bc5073d17bc571,.pdf,731614,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_3847f306008a8c83,.pdf,388350,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_6248280c4be49702,.pdf,127888,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_be478b718df7e9ae,.tif,204955,True,image_ocr_unavailable,False,0,True,True,extraction_unavailable
